Ticker,Nil_col,Name,Price,P/E,PEG,Div/share,Price/Book,Change_from_50_day_MA,Change_from_200_day_MA,Change_fr_52_week_low,Change_fr_52_week_high
^GSPC,Nil,,,,,,,,,,
^VIX,Nil,,,,,,,,,,
2801.HK,Nil,,,,,,,,,,
2805.HK,Nil,,,,,,,,,,
2821.HK,Nil,,,,,,,,,,
A35.SI,Nil,,,,,,,,,,
AAXJ,Nil,,,,,,,,,,
ADRE,Nil,,,,,,,,,,
ISAC.L,Nil,,,,,,,,,,
BIK,Nil,,,,,,,,,,
TLT,Nil,,,,,,,,,,
BKF,Nil,,,,,,,,,,
BYJ.SI,Nil,,,,,,,,,,
CHIM,Nil,,,,,,,,,,
CHIX,Nil,,,,,,,,,,
CVY,Nil,,,,,,,,,,
DEM,Nil,,,,,,,,,,
RWO,Nil,,,,,,,,,,
GSG,Nil,,,,,,,,,,
EDIV,Nil,,,,,,,,,,
EEM,Nil,,,,,,,,,,
EEME,Nil,,,,,,,,,,
EFA,Nil,,,,,,,,,,
ERUS,Nil,,,,,,,,,,
ES3.SI,Nil,,,,,,,,,,
ESR,Nil,,,,,,,,,,
EWA,Nil,,,,,,,,,,
EWC,Nil,,,,,,,,,,
EWEM,Nil,,,,,,,,,,
EWH,Nil,,,,,,,,,,
EWI,Nil,,,,,,,,,,
EWJ,Nil,,,,,,,,,,
EWL,Nil,,,,,,,,,,
EWM,Nil,,,,,,,,,,
EWN,Nil,,,,,,,,,,
EWP,Nil,,,,,,,,,,
EWQ,Nil,,,,,,,,,,
EWS,Nil,,,,,,,,,,
EWT,Nil,,,,,,,,,,
EWU,Nil,,,,,,,,,,
EWW,Nil,,,,,,,,,,
EWY,Nil,,,,,,,,,,
EWY,Nil,,,,,,,,,,
EZA,Nil,,,,,,,,,,
FCA,Nil,,,,,,,,,,
FCG,Nil,,,,,,,,,,
FCHI,Nil,,,,,,,,,,
FDD,Nil,,,,,,,,,,
FEM,Nil,,,,,,,,,,
FGD,Nil,,,,,,,,,,
FILL,Nil,,,,,,,,,,
FKO,Nil,,,,,,,,,,
FTA,Nil,,,,,,,,,,
FXI,Nil,,,,,,,,,,
FXN,Nil,,,,,,,,,,
FXO,Nil,,,,,,,,,,
G3B.SI,Nil,,,,,,,,,,
GBPSGD=X,Nil,,,,,,,,,,
GDXJ,Nil,,,,,,,,,,
GGGG,Nil,,,,,,,,,,
GLD,Nil,,,,,,,,,,
GLRE.L,Nil,,,,,,,,,,
GMF,Nil,,,,,,,,,,
GMM,Nil,,,,,,,,,,
GULF,Nil,,,,,,,,,,
GUR,Nil,,,,,,,,,,
GXC,Nil,,,,,,,,,,
HAO,Nil,,,,,,,,,,
IDHQ,Nil,,,,,,,,,,
IEER.L,Nil,,,,,,,,,,
IGLO.L,Nil,,,,,,,,,,
ILF,Nil,,,,,,,,,,
IPW,Nil,,,,,,,,,,
ISF.L,Nil,,,,,,,,,,
ISRA,Nil,,,,,,,,,,
IXG,Nil,,,,,,,,,,
JKF,Nil,,,,,,,,,,
JKI,Nil,,,,,,,,,,
KBWD,Nil,,,,,,,,,,
KBWP,Nil,,,,,,,,,,
MCHI,Nil,,,,,,,,,,
O87.SI,Nil,,,,,,,,,,
PFI,Nil,,,,,,,,,,
PSP,Nil,,,,,,,,,,
PUW,Nil,,,,,,,,,,
PWV,Nil,,,,,,,,,,
PZI,Nil,,,,,,,,,,
RKH,Nil,,,,,,,,,,
RPV,Nil,,,,,,,,,,
RSX,Nil,,,,,,,,,,
RSX,Nil,,,,,,,,,,
RSXJ,Nil,,,,,,,,,,
RTR,Nil,,,,,,,,,,
RWW,Nil,,,,,,,,,,
RYF,Nil,,,,,,,,,,
SCJ,Nil,,,,,,,,,,
SEA,Nil,,,,,,,,,,
SGDHKD=X,Nil,,,,,,,,,,
SGLO.L,Nil,,,,,,,,,,
SPHB,Nil,,,,,,,,,,
VGSH,Nil,,,,,,,,,,
VTI,Nil,,,,,,,,,,
THD,Nil,,,,,,,,,,
TUR,Nil,,,,,,,,,,
UGEM,Nil,,,,,,,,,,
USDSGD=X,Nil,,,,,,,,,,
VAPX.L,Nil,,,,,,,,,,
VDEM.L,Nil,,,,,,,,,,
VEA,Nil,,,,,,,,,,
VEU,Nil,,,,,,,,,,
VFEM.L,Nil,,,,,,,,,,
VGK,Nil,,,,,,,,,,
VHT,Nil,,,,,,,,,,
VNQI,Nil,,,,,,,,,,
VOO,Nil,,,,,,,,,,
VPL,Nil,,,,,,,,,,
VSS,Nil,,,,,,,,,,
VT,Nil,,,,,,,,,,
VTI,Nil,,,,,,,,,,
VTSMX,Nil,,,,,,,,,,
VWO,Nil,,,,,,,,,,
VWRD.L,Nil,,,,,,,,,,
VWRL.L,Nil,,,,,,,,,,
VXUS,Nil,,,,,,,,,,
VXX,Nil,,,,,,,,,,
YAO,Nil,,,,,,,,,,
